Tender,Company,Procurement,Notice,Location,Closing,Value,Date
"Creative Services, Media Planning & Buying and Search Engine Optimisation",None,Opportunity,Open,North West,"20 October 2023, 10am","£14,000,000",8 September 2023
Duty Management System,None,Opportunity,Open,NN8 6GS,"29 September 2023, 12pm","£285,000 to £485,000",8 September 2023
(VEAT) Professional Support & Wellbeing (PSW) Counselling - NHSE,None,Opportunity,Open,LS2 7UE,"18 September 2023, 12pm","£35,000",8 September 2023
Mental Health Conveyance Response Vehicle Service - Kent and Medway,None,Opportunity,Open,South East,"18 September 2023, 12pm","£1 to £6,000,000",8 September 2023
Rough Sleeper Mental Health Service - Kent & Medway,None,Opportunity,Open,South East,"18 September 2023, 12pm","£1 to £2,050,000",8 September 2023
AT1196 Market Square Farley Hill Luton Refurbishment,None,Opportunity,Open,England,"4 October 2023, 12pm","£750,000",8 September 2023
C0008 Dormant Accounts Fund Northern Ireland Evaluation,None,Opportunity,Open,BT7 2JD,"8 October 2023, 11:59pm","£125,000",8 September 2023
Review of evidence base for 0-5s mental health interventions,None,Opportunity,Open,LS2 7UE,"3 October 2023, 12pm","£92,000",8 September 2023
Burial Chambers,None,Opportunity,Open,England,"9 October 2023, 12pm","£400,000",8 September 2023
Invitation to Tender for Financial Audit Services - Northern Ireland Audit Office,None,Opportunity,Open,BT8 6RB,"9 October 2023,  5pm",£0,8 September 2023
CPT_23_11 External Audit service,None,Opportunity,Open,Any region,"10 October 2023, 12pm","£583,333.33",8 September 2023
Bus Service Improvement Plan (BSIP) Bus Shelter and Bus Stop Infrastructure Framework - 2 Lots,None,Opportunity,Open,South West,"16 November 2023,  1pm","£7,500,000",8 September 2023
"L23039a-T-TG - Concession for the provision of Car Hire services at London Luton Airport Lot 1, Lot 2, Lot 3 & Lot 4 & Premium Car Hire",None,Opportunity,Open,LU2 9LY,"13 September 2023, 12pm",£0,"4 August 2023, last edited  8 September 2023"
Payment Acceptance 2,None,Opportunity,Open,United Kingdom,"9 October 2023,  3pm","£1,200,000,000",8 September 2023
Bikeability Training 2024,None,Opportunity,Open,Yorkshire and the Humber,"11 October 2023, 12pm","£0 to £1,199,800",8 September 2023
EPMS23 - Materials Supply and Managed Services Framework,None,Opportunity,Open,NR16 1ET,"13 October 2023, 12pm","£162,000,000",8 September 2023
Residential Design Guide for the City,None,Opportunity,Open,North West,"29 September 2023, 10am","£80,000",8 September 2023
City / Region Pass Provider,None,Opportunity,Open,B4 6AT,"26 September 2023, 12pm","£30,000 to £40,000",8 September 2023
Soil Stacks - Moorcot Court - SVP Replacements,None,Opportunity,Open,England,"6 October 2023, 12pm","£350,000","7 September 2023, last edited  8 September 2023"
Christian Action Housing Gas Servicing and Maintenance,None,Opportunity,Open,London,"20 October 2023, 12pm","£4,000,000",8 September 2023
Preclinical In Vitro Cardiovascular Studies,None,Opportunity,Open,SP4 0JQ,"9 October 2023,  5pm","£0 to £380,000","5 September 2023, last edited  8 September 2023"
A47 North Tuddenham to Easton Scheme  - Reinforced Earthworks,None,Early engagement,Open,East of England,22 September 2023,Publication date8 September 2023,None
Market Sounding for the Collection and Disposal of Mattresses,None,Opportunity,Open,Yorkshire and the Humber,"6 October 2023, 12pm",£0,8 September 2023
Drop-In/Floating Support Service,None,Opportunity,Open,London,"9 October 2023,  1pm","£1,453,696 to £2,543,968",8 September 2023
Hyper Converged Infrastructure (HCI) data storage solution,None,Opportunity,Open,United Kingdom,"9 October 2023, 10am",£0.01,8 September 2023
A47 North Tuddenham to Easton Scheme - Structural Steelwork,None,Early engagement,Open,East of England,22 September 2023,Publication date8 September 2023,None
BHFT 0402 CYP Autism & ADHD Online Assessment & ADHD Treatment (Medication) Services,None,Opportunity,Open,South East,"9 October 2023, 10am","£2,000,000",8 September 2023
'Reframing the Tees' Landscape Architecture Pilot Project,None,Opportunity,Open,North East,"9 October 2023, 12pm","£40,000","8 September 2023, last edited  8 September 2023"
SCIENCE AND INNOVATION SCENARIOS FOR THE NATURAL ENVIRONMENT 2042,None,Opportunity,Open,United Kingdom,"29 September 2023,  3pm","£1 to £38,332.50","7 September 2023, last edited  8 September 2023"
"GB-Shrewsbury: New Build Housing at Fairfields Close, Gobowen",None,Opportunity,Open,West Midlands,"4 October 2023, 12pm","£1,000,000 to £5,000,000","11 August 2023, last edited  8 September 2023"
A47 Blofield to North Burlingham Dualling - Supply & Installation of Commercial grade Pond Liner.,None,Early engagement,Open,East of England,22 September 2023,Publication date8 September 2023,None
L22040-T-TS - Finance and procurement systems replacement,None,Opportunity,Open,LU2 9LY,"25 September 2023, 12pm","£1,900,000 to £1,500,000","11 August 2023, last edited  8 September 2023"
Favourable Conservation Status Strategy for Woodlands,None,Opportunity,Open,United Kingdom,"15 September 2023, 12pm","£9,000 to £15,000","23 August 2023, last edited  8 September 2023"
Fire Upgrading and General Upgrading to the MT Building at Fort Cumberland,None,Opportunity,Open,SN2 2EH,"8 October 2023,  5:52pm","£0 to £250,000","8 September 2023, last edited  8 September 2023"
5 yr maintenance service for 1x Technegas Plus TC-99M,None,Early engagement,Open,SE5 9RS,20 September 2023,Publication date8 September 2023,None
Supply of quality Trees and Plants (for Mid Dec 23 - Mid Jan 24),None,Opportunity,Open,IP1 2DE,"3 October 2023, 11am",£0,8 September 2023
Parks and Cemeteries - Autumn Fertiliser,None,Opportunity,Open,IP1 2DE,"15 September 2023,  2pm",£0,8 September 2023
Eastwood Primary School and Nursery Cleaning Services,None,Opportunity,Open,England,"9 October 2023, 12pm",£0,8 September 2023
"Proposed Contract for Gutter cleaning, rainwater goods and roof inspections and associated minor maintenance works",None,Opportunity,Open,England,"22 September 2023, 10am","£0 to £50,000",8 September 2023
PH005/2023 NIHR Health Determinants Research Collaboration Process Evaluation,None,Opportunity,Open,England,"13 October 2023, 12pm","£303,395","8 September 2023, last edited  8 September 2023"
HMPPS Drug Testing in Prison and Community Setting MSAT assessment to be completed as part of the future tender,None,Early engagement,Open,Any region,30 November 2023,"Publication date8 September 2023, last edited  8 September 2023",None
Primary Care Service (Medical and Nursing) including Integrated Substance Misuse Service and Integrated Mental Health including Learning Disabilities and Autism Service for HM Prison Full Sutton and HM Prison Millsike,None,Opportunity,Open,Yorkshire and the Humber,"17 October 2023, 12pm","£88,549,114","25 August 2023, last edited  8 September 2023"
Provision of Central Heating Replacement at Barnsley Council Owned Properties,None,Opportunity,Open,Yorkshire and the Humber,"20 October 2023, 12pm","£0 to £3,000,000",8 September 2023
In-Service Support of Hazardous Environmental Search Equipment (HESE) PIN,None,Early engagement,Open,South West,20 October 2023,Publication date8 September 2023,None
RFI - Route Optimisatation Software and In-cab Technology,None,Early engagement,Open,England,29 September 2023,Publication date8 September 2023,None
Dynamic Purchasing System (DPS) for Website Design and Build Services,None,Opportunity,Open,England,"9 October 2023, 10am","£250,000","8 September 2023, last edited  8 September 2023"
Provision of Waste Transfer Station Facilities and Associated Services,None,Opportunity,Open,England,"27 October 2023, 12pm","£4,400,000","7 September 2023, last edited  8 September 2023"
SC22218 - Domestic Homicide Reviews - Independent Chairs and/or Authors (Dynamic Purchasing System),None,Opportunity,Open,England,"6 October 2023, 12pm","£0 to £200,000",8 September 2023
Provision of Document Shredding Services in FSA Approved Establishments,None,Opportunity,Open,YO1 7PR,"6 October 2023, 12pm",£1,8 September 2023
Hexham House Demolition,None,Opportunity,Open,North East,"29 September 2023, 11am",£0,"30 August 2023, last edited  8 September 2023"
Provision of Locum Educational Psychologists,None,Opportunity,Open,East Midlands,"2 October 2023, 12pm","£546,000",8 September 2023
Request for Information for the provision of Occupational Health Services,None,Early engagement,Open,West Midlands,22 September 2023,Publication date8 September 2023,None
GB-Colchester: Election Printing,None,Opportunity,Open,East of England,"2 October 2023, 12pm","£100,000 to £500,000",8 September 2023
Transformation Project_Woodbury SSQ,None,Opportunity,Open,BL9 0BG,"18 September 2023, 12:01pm",£0,"8 September 2023, last edited  8 September 2023"
Demolition Works,None,Opportunity,Open,England,"28 September 2023, 12pm","£150,000",8 September 2023
HCC - 09/23 - The Provision of Facilities for the Treatment of Green Garden Waste from Recycling Centres in Hertfordshire,None,Opportunity,Open,SG13 8DE,"9 October 2023, 12pm","£804,003 to £1,341,000",8 September 2023
"The design, manufacture, and supply of a state-of-the-art large-scale mixing pilot unit for up to 1000 litres for Geopolymer pilot production",None,Opportunity,Open,ST47LQ,"13 October 2023, 12pm","£300,000",8 September 2023
"Procurement Opportunity to deliver ""Social Media Marketing"" Workshops",None,Opportunity,Open,Yorkshire and the Humber,"19 September 2023,  5pm","£10,000 to £30,000","1 September 2023, last edited  8 September 2023"
Replacement of Frizlands Fuel Tanks,None,Opportunity,Open,RM10 7ES,"9 October 2023,  4pm","£300,000","7 September 2023, last edited  8 September 2023"
HCC - 09/23 - The Provision of Facilities for the Collection and Treatment of Scrap Metals and Lead Acid Batteries from Recycling Centres in Hertfordshire,None,Opportunity,Open,SG13 8DE,"9 October 2023, 12pm","£1,954,551 to £3,258,000",8 September 2023
Grounds and Pitch Maintenance Contract for Hook Parish Council 2024 - 2028,None,Opportunity,Open,rg27 9nn,"26 September 2023, 12pm",£0,8 September 2023
Radbrook Changing Room alterations,None,Opportunity,Open,West Midlands,"13 October 2023,  1pm","£30,000",8 September 2023
Provision of Aseptic Managed Service,None,Early engagement,Open,SE1 9RT,12 October 2023,Publication date8 September 2023,None
Solo Residential Care Provision for Child L,None,Early engagement,Open,North East,25 September 2023,Publication date8 September 2023,None
Landscape Character Assessment guidance update Phase 2 - stakeholder engagement and material preparation,None,Opportunity,Open,England,"22 September 2023, 12pm","£30,000 to £40,000","31 August 2023, last edited  8 September 2023"
UKRI-3103 DQW Warm Magnetic Shields (WMS),None,Opportunity,Open,North West,"13 October 2023,  2pm","£240,000",8 September 2023
The Provision of a Framework Agreement for Photography Services for Hampshire & Isle of Wight Constabulary (HIOWC),None,Early engagement,Open,South East,22 September 2023,Publication date8 September 2023,None
"Building Condition Survey - Northside Garage Complex, Pembroke Road, London, W8 6PW",None,Opportunity,Open,SW3 5EE,"22 September 2023, 12pm","£10,000",8 September 2023
BBB Structured Finance Legal Services Panel,None,Opportunity,Open,Any region,"13 October 2023, 12am","£4,000,000",8 September 2023
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),None,Opportunity,Open,United Kingdom,"15 September 2023, 12pm","£23,000 to £25,000","10 August 2023, last edited  8 September 2023"
General Construction Multi Trade - GCMT - Housing & residential (20% VAT),None,Opportunity,Open,United Kingdom,"14 September 2023, 12pm","£30,000","8 August 2023, last edited  8 September 2023"
103853 - Multi Sport Grassroots Facilities Technical Assurance,None,Opportunity,Open,SW1A 2BQ,"22 September 2023, 12pm","£70,000 to £90,000","7 September 2023, last edited  8 September 2023"
1421 - SCW - Dialogic Organisation Development Training and Accreditation,None,Opportunity,Open,SO50 5PB,"21 September 2023, 12pm","£46,252",8 September 2023
Supply of a Wide Area Network & Associated Services (RM6116),None,Opportunity,Open,WR5 2NP,"6 October 2023,  5pm","£0 to £2,000,000",8 September 2023
"Supply, Servicing and Maintenance of Uninterruptable Power Supply Units",None,Opportunity,Open,East Midlands,"11 October 2023,  1pm","£1,400,000",8 September 2023
Street Lighting Materials,None,Opportunity,Open,Yorkshire and the Humber,"13 September 2023, 12pm","£690,000 to £710,000","28 July 2023, last edited  8 September 2023"
UKHSA Scientific - Provision of a Portable Particulate Matter (PM) System,None,Early engagement,Open,OX11 0RQ,19 September 2023,Publication date8 September 2023,None
Short Duration Vehicle Hire,None,Opportunity,Open,South West,"6 October 2023,  2pm","£3,000,000",8 September 2023
Provision of Highways Structures Inspections,None,Opportunity,Open,England,"6 October 2023, 12pm","£90,000",8 September 2023
GB-London: Board Effectiveness Review - CMA,None,Opportunity,Open,Any region,"22 September 2023, 12pm","£50,000 to £100,000",8 September 2023
Semi - Comprehensive annual maintenance contract for X-Ray Scanners at BHC New Delhi,None,Opportunity,Open,Any region,"29 September 2023,  5pm","£71,140",8 September 2023
Forensic Marking Products (1),None,Opportunity,Open,"North West, Northern Ireland, South West, Wales, West Midlands","19 September 2023, 11am","£0 to £1,000,000","18 August 2023, last edited  8 September 2023"
GB-Norwich: 23-020 - Responsive Roofing Works,None,Opportunity,Open,East of England,"9 October 2023, 12pm","£500,000 to £1,000,000",8 September 2023
Grounds Maintenance for recreational and other green spaces,None,Opportunity,Open,East Midlands,"13 October 2023,  4pm","£600,000 to £700,000",8 September 2023
National child safeguarding facilitator role (Education focus),None,Future opportunity,Open,Any region,Approach to market date11 September 2023,"£100,000",8 September 2023
National child safeguarding facilitator role (local authority focus),None,Future opportunity,Open,Any region,Approach to market date11 September 2023,"£130,000",8 September 2023
Hackney Thinking Spaces,None,Opportunity,Open,England,"4 October 2023,  5pm","£80,000","7 September 2023, last edited  8 September 2023"
English Heritage High Level Inspection Survey for Helmsley Castle Phase 1,None,Opportunity,Open,SN2 2EH,"11 September 2023,  5pm",£0,"25 August 2023, last edited  8 September 2023"
IMS Certification,None,Opportunity,Open,North East,"20 October 2023, 12pm","£150,000","8 September 2023, last edited  8 September 2023"
CPU 6342 (NCC) Bus routes 53 and 54,None,Opportunity,Open,East Midlands,"10 October 2023,  3pm",£0,8 September 2023
"Advocacy Services across Leicestershire, Leicester, and Rutland",None,Opportunity,Open,England,"9 October 2023,  4pm","£2,457,815",8 September 2023
Sites of Special Scientific Interest (SSSI) Monitoring Framework,None,Opportunity,Open,Any region,"23 October 2023,  1:30pm","£0 to £4,900,000",8 September 2023
Specialist Rehabilitation Service For People with Alcohol Misuse and Complex Needs,None,Opportunity,Open,England,"10 October 2023, 12pm","£735,000",8 September 2023
VIVID - Enterprise Architecture Services,None,Opportunity,Open,South East,"13 October 2023, 12pm",£0,8 September 2023
CST109 (Soft Market Testing) Aids to Rehabilitation,None,Early engagement,Open,East Midlands,20 September 2023,"Publication date6 September 2023, last edited  8 September 2023",None
Understanding Recreational Impacts on Lower Derwent Valley,None,Opportunity,Open,Yorkshire and the Humber,"18 September 2023,  9am","£5,000 to £30,000","25 August 2023, last edited  8 September 2023"
NECS485 Health Coaching & Social Prescribing Service Request for Information (RFI),None,Early engagement,Open,North East,22 September 2023,Publication date8 September 2023,None
"Car Park Access Control, Powered Barrier and Gate Systems Maintenance Services",None,Opportunity,Open,BH17 0RB,"9 October 2023,  3pm","£20,355",8 September 2023
Allonby Bay HPMA Carbon Stock Project: analysis of carbon cores,None,Opportunity,Open,North West,"20 September 2023, 12pm","£10,000 to £30,000","31 August 2023, last edited  8 September 2023"
VRU-Girls & Young Women Community Based Mentoring Programme,None,Opportunity,Open,London,"11 September 2023, 12pm",£0,"7 August 2023, last edited  8 September 2023"
Invitation to Quote for Carbon Pathway Study,None,Opportunity,Open,England,"12 September 2023, 12pm","£40,000 to £80,000","8 August 2023, last edited  7 September 2023"
AC1739 Healthwatch and Service User Engagement,None,Opportunity,Open,England,"9 October 2023, 12pm","£1,000,000",7 September 2023
Domestic Abuse Support Services,None,Opportunity,Open,Yorkshire and the Humber,"9 October 2023,  5pm","£0 to £10,280,256",7 September 2023
Sexual and Reproductive Health Services,None,Opportunity,Open,England,"6 October 2023, 12pm","£21,109,078","7 September 2023, last edited  7 September 2023"
708373452 FRPU LAN Technology Refresh,None,Opportunity,Open,South East,"22 September 2023,  2pm","£291,667","7 September 2023, last edited  7 September 2023"
Provision of Electronic Vehicle Charging Infrastructure (phase one),None,Opportunity,Open,England,"9 October 2023, 12pm","£100,000 to £120,000",7 September 2023
Sentiments Analysis for Innovation Procurement,None,Opportunity,Open,England,"22 September 2023, 12pm","£30,000","6 September 2023, last edited  7 September 2023"
Dacorum Borough Council  -  Heating and Ventilation Installation and Services - Domestic,None,Opportunity,Open,South East,"9 October 2023, 12pm","£40,000,000",7 September 2023
CON-23-161 Market Research Framework,None,Opportunity,Open,Any region,"19 October 2023, 12pm","£6,400,000",7 September 2023
BTA1996 - Enhancing Accessibility Information (Tourism Venues),None,Opportunity,Open,SW1W 0BD,"6 October 2023, 12pm","£595,000",7 September 2023
Purchase of Hook Lift Skips,None,Early engagement,Open,North East,26 September 2023,Publication date7 September 2023,None
Request for Information (RFI) for Northeast Essex General Practice Support Service,None,Opportunity,Open,CO4 9QR,"25 September 2023, 12pm",£0,7 September 2023
Safeguarding Support for Covid-19 Inquiry,None,Opportunity,Open,United Kingdom,"9 October 2023,  3pm","£7,645,650",7 September 2023
SEN TRANSPORT 2023/24 - BATCH 1,None,Opportunity,Open,ME4 4TR,"14 September 2023, 12pm",£0,"7 September 2023, last edited  7 September 2023"
GB-Birmingham: Transgender Consultation,None,Opportunity,Open,West Midlands,"12 October 2023,  4pm","£0 to £10,000",7 September 2023
Invitation To Quote to Provide Short-Term Leadership On Developing The NHS Anchor Network In Greater Manchester On Behalf of  NHS Greater Manchester Integrated Care Board,None,Opportunity,Open,North West,"21 September 2023, 11:59pm","£1 to £55,200",7 September 2023
"Lubricating oils, greases and antifreeze framework",None,Opportunity,Open,South East,"9 October 2023, 12pm","£300,000",7 September 2023
Santon Downham Office Cleaning,None,Opportunity,Open,East of England,"9 October 2023, 12pm","£200,000",7 September 2023
"GMIP Residential Refurbishment 23/24 Maputo, Mozambique",None,Opportunity,Open,MK19 7BH,"6 October 2023, 11am",£0,7 September 2023
DYNAMIC DUNESCALES/PLANTLIFE Evaluation Consultant 2023,None,Opportunity,Open,United Kingdom,"9 October 2023,  6pm","£14,000",7 September 2023
Vehicle Collision Repairs,None,Opportunity,Open,North West,"18 September 2023, 11am","£0 to £2,500,000","16 August 2023, last edited  7 September 2023"
Provision of Server Hardware,None,Opportunity,Open,NE46 1BS,"22 September 2023, 12pm",£0,7 September 2023
DMCV 016 - The Provision of Air Source Heat Pumps as part of Home Upgrade Grant Phase 2,None,Opportunity,Open,West Midlands,"9 October 2023, 12pm","£3,750,000",7 September 2023
GB-London: Urban Nature Project Summative Evaluation of the Gardens,None,Opportunity,Open,London,"2 October 2023, 12pm","£25,000 to £50,000",7 September 2023
Species Evidence Base - version 2; Lepidoptera,None,Opportunity,Open,United Kingdom,"29 September 2023, 11:59pm","£10,000 to £40,000","7 September 2023, last edited  7 September 2023"
Fast Magic Angle Spinning Probe 500 MHz,None,Opportunity,Open,CV4 7AL,"6 October 2023, 12pm","£0 to £98,950",7 September 2023
St Helens Place Based Business Support - UK Shared Prosperity Fund Market Engagement,None,Early engagement,Open,England,7 December 2023,Publication date7 September 2023,None
Mitcham Market Management,None,Opportunity,Open,England,"6 October 2023, 11:59pm","£0 to £300,000",7 September 2023
Health Needs Assessment for North West Health & Justice Services,None,Future opportunity,Open,North West,Approach to market date17 October 2023,£1,"7 September 2023, last edited  7 September 2023"
Police Sale of Goods,None,Opportunity,Open,Yorkshire and the Humber,"9 October 2023, 12pm","£0 to £51,000",7 September 2023
"Storage & Distribution of Human Medicines, Vaccines & Associated Medical Product",None,Early engagement,Open,United Kingdom,28 September 2023,Publication date7 September 2023,None
Event Security Services,None,Opportunity,Open,England,"9 October 2023, 12pm","£96,000",7 September 2023
2 yr maintenance service for 10x GEN II Ethicon generators,None,Early engagement,Open,SE5 9RS,15 September 2023,Publication date7 September 2023,None
Market Engagement for Primary Care Medical Services at Thornton Road / Valley Park and at New Addington on behalf of NHS South West London Integrated Care Board,None,Early engagement,Open,London,28 September 2023,Publication date7 September 2023,None
An Evaluation of Behaviour Change in the LIFE Recreation ReMEDIES project,None,Opportunity,Open,United Kingdom,"29 September 2023, 11:59pm","£30,000 to £44,000",7 September 2023
Insurance and related services and claims handling services,None,Opportunity,Open,Any region,"10 October 2023,  4pm","£13,100,000",7 September 2023
NHS Staffordshire & Stoke-on-Trent Integrated Care Board Invitation to Quote for Minor Hand Surgery / Carpal Tunnel,None,Opportunity,Open,ST18 0BF,"21 September 2023, 12pm","£90,000","25 August 2023, last edited  7 September 2023"
Development Opportunity - Market Engagement Day,None,Early engagement,Open,England,10 September 2023,Publication date7 September 2023,None
HCC - 09/23 - The Provision of an Insurance Claims Handling System,None,Opportunity,Open,SG13 8DE,"9 October 2023, 12pm","£129,000 to £215,000",7 September 2023
Fire Engineering / Consultancy Services,None,Opportunity,Open,IG11 7LU,"25 September 2023,  1pm","£130,000",7 September 2023
"RAAC Replacement Works, Haywood Hospital",None,Opportunity,Open,ST6 7AG,"15 September 2023, 12pm",£0 to £1,"8 August 2023, last edited  7 September 2023"
Training Ammunition,None,Opportunity,Open,United Kingdom,"2 October 2023,  9am","£22,564,173","31 August 2023, last edited  7 September 2023"
TELEPHONE SURVEY OF GATESHEAD COUNCIL HOUSING TENANTS,None,Opportunity,Open,North East,"20 September 2023, 12pm","£32,500",7 September 2023
Civil Service Fast Stream Assessment Centre,None,Early engagement,Open,United Kingdom,29 September 2023,"Publication date6 September 2023, last edited  7 September 2023",None
CA12844 - Tender for Ovens,None,Opportunity,Open,SN3 1AH,"21 September 2023, 12pm",£0,7 September 2023
North East Lincolnshire New School Builds in Waltham and Scartho,None,Opportunity,Open,Yorkshire and the Humber,"10 November 2023,  1pm","£9,000,000 to £9,000,001","10 August 2023, last edited  7 September 2023"
"Q20509 - CONSTRUCTION WORKS - Victoria Northern Eastern Gateway Walking and Cycling Scheme - Phase 2, Area G (Rochdale Road / Thompson Street / Oldham Road), Route Signage and Old Mill Street",None,Opportunity,Open,United Kingdom,"23 October 2023, 11am","£2,500,000",7 September 2023
Victim Care Hub,None,Opportunity,Open,SO23 8AJ,"25 September 2023,  2pm","£4,391,667","24 August 2023, last edited  7 September 2023"
Planning Related Advice Professional Services Framework (Lot 8),None,Opportunity,Open,SW1P 3JR,"13 October 2023, 12pm",£0,7 September 2023
Hook Parish Council Playground Inspections Contractor 2024-2028,None,Opportunity,Open,rg27 9nn,"26 September 2023, 12pm",£0,"7 September 2023, last edited  7 September 2023"
2076a In-country representative (Admissions Associate) services for International Student Recruitment India REISSUE,None,Opportunity,Open,LE1 9BH,"22 September 2023, 11:59am",£0,"7 September 2023, last edited  7 September 2023"
The Supply of Menstrual Products and Female Urination Support Device,None,Future opportunity,Open,Any region,Approach to market date30 October 2023,"£997,000",7 September 2023
Water Quality Services,None,Opportunity,Open,SO23 8AJ,"25 September 2023,  2pm","£220,000","22 August 2023, last edited  7 September 2023"
"Resurfacing of Playground, Car Park and Associated Works at Wood End Infant & Pre School",None,Opportunity,Open,MK9 3EJ,"15 September 2023, 12pm",£0,"24 August 2023, last edited  7 September 2023"
"Phase 1 Works (re-advertised with revised scope) at Victoria Barracks, Albany Road, East Cowes",None,Opportunity,Open,United Kingdom,"28 September 2023,  2pm","£1,000,000 to £1,200,000",7 September 2023
SAP Fully Managed Support Service Soft Marketing Test (SMT) (1),None,Opportunity,Open,Yorkshire and the Humber,"22 September 2023, 12pm",£0,7 September 2023
"GMIP Electrical Works - Maputo, Mozambique",None,Opportunity,Open,MK19 7BH,"6 October 2023, 11am",£0,7 September 2023
Wye NNR Purchase of Rytect Cut and Collect Machine,None,Opportunity,Open,South East,"29 September 2023, 11:59pm","£15,000 to £25,000",7 September 2023
Tender for the provision of  AHU Ductwork Insulation Replacement,None,Opportunity,Open,West Midlands,"6 October 2023, 12pm","£1 to £65,000",7 September 2023
STC1173 Principal Contractor: Events,None,Opportunity,Open,SW1A 0AA,"9 October 2023, 12pm","£800,000",7 September 2023
Consultancy Services To Assess TPO Requests,None,Opportunity,Open,South West,"22 September 2023, 12pm","£10,000",7 September 2023
"Rebecca Adlington Leisure Centre, Mansfield - Roof refurbishment",None,Opportunity,Open,East Midlands,"9 October 2023, 12pm",£0,7 September 2023
"Military Road, Dover Development",None,Opportunity,Open,England,"20 October 2023, 12pm","£1,500,000",7 September 2023
Outsourcing/Temporary Service for undertaking Adult Social Care Financial Assessments,None,Early engagement,Open,England,22 September 2023,Publication date7 September 2023,None
